# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 31 14:32:29 AEST 2021 [seed=1630384348043]
# -overwrite -beagle_GPU australian_H7_aligned_SC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-24154.979715854875	-80.18909397307893	-24074.790621881795	27.560210839010193	1982.7356795719488	46.875773464436946	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-24074.790621881795	0.0	-27.701640985606073
1000	-15521.700590080665	-87.02015401882159	-15434.680436061844	27.408362010561202	1982.8875284003977	84.96662768921118	5.011967295632417	0.02307166923780124	0.9995799833987784	1.0013684583090812	0.9885415262124284	1.0	1.0056225216261205	1.004887510453591	0.31816338259693017	0.1842162730338212	0.18421627303382127	-15434.680436061844	0.0	-65.62821326136319
2000	-13638.860340336563	-99.70937880331529	-13539.150961533249	37.290277925167544	1973.0056124857913	129.9650116472201	10.706452649870252	0.02307166923780124	0.9995799833987784	1.0069287613672857	0.9829812231542239	0.9944085517063943	1.0101713707759126	1.0059301095974045	0.19287730849135704	0.07699730871794357	0.07699730871794354	-13539.150961533249	0.0	-84.10294480752184
3000	-12947.87708299178	-103.30030193740936	-12844.57678105437	35.069160614402435	1975.2267297965566	147.17627456138493	24.888128693696892	0.02654243068741091	0.9954550955192134	1.0129506121482803	0.9882177468904745	0.9870319655774655	1.0086815781602925	1.007663001704273	0.21918754584548655	0.013175804105460874	0.01317580410546087	-12844.57678105437	0.0	-95.8068997909413
4000	-12394.10619839679	-109.30083145520828	-12284.805366941582	42.43942620633726	1967.8564642046217	189.99918361063692	25.534242349545785	0.030465454187413643	1.0038601946623251	1.0181861698360444	0.9756142095741568	0.9870319655774655	1.0086815781602925	1.006625882189715	0.1879645945793537	0.008266037533133427	0.008266037533133427	-12284.805366941582	0.0	-102.56975592367134
5000	-10957.113602483654	-122.04790978772917	-10835.065692695925	48.09056664361412	1962.205323767345	270.16573498304683	21.843156070678905	-0.013173661721655128	0.9994969727002186	1.019923640101361	0.9756142095741568	0.9917182035051452	1.006944107894976	1.0063028662241418	0.31050016963311644	0.004926063721432486	0.004926063721432485	-10835.065692695925	0.0	-115.91968982009087
6000	-10011.07179640855	-131.96460976107306	-9879.107186647478	69.40271623526716	1940.8931741756917	357.1085524545634	26.638063891518232	-0.013173661721655128	0.996810586244596	1.019923640101361	0.9756142095741568	0.9852576651000374	1.006944107894976	1.015449791084872	0.3936045396169277	0.0029563380376969187	0.0029563380376969187	-9879.107186647478	0.0	-126.14164410623967
7000	-9754.153701485428	-137.30444257758845	-9616.84925890784	87.41687563250495	1922.879014778454	437.3785246067947	50.17216423213038	0.008257752009096064	1.0051266693666325	1.01472052034902	0.9615636750114206	0.9750179250955882	1.0153810095283067	1.0281902006490313	0.42107868248862534	0.002442166189272101	0.002442166189272102	-9616.84925890784	0.0	-130.98282045507207
8000	-9712.834110445112	-143.17136293665416	-9569.662747508457	102.7096463891102	1907.5862440218486	523.555575457138	69.3970224174092	0.008257752009096064	1.0062689723150704	1.0048168418833516	0.9747329916164237	0.9752293290073627	1.029627718323862	1.009324146853929	0.4417570347977723	0.002004873939982941	0.0020048739399829408	-9569.662747508457	0.0	-136.69106284785533
9000	-9665.374904573191	-147.6545415640734	-9517.720363009117	130.54264527739429	1879.7532451335646	625.9683427554821	73.18038971279402	0.008257752009096064	1.0124615418889502	1.0100554006468156	0.9567831634627836	0.9786982991968448	1.0379160067141402	1.0040855880904649	0.3453324871464468	0.0017142743486854401	0.00171427434868544	-9517.720363009117	0.0	-141.458212467993
10000	-9633.200492301232	-150.57545872380868	-9482.625033577424	153.3375060727514	1856.9583843382075	730.4182783632651	40.261220842523336	-0.019274499709831305	1.0111362995036512	1.0263425963216335	0.9469263171041077	0.9747889587893999	1.0434293250670383	0.9973765032141688	0.4416875648534936	0.0015117255827551124	0.0015117255827551122	-9482.625033577424	0.0	-144.88185877011472
11000	-9626.39622690378	-159.05365933861577	-9467.342567565165	153.9775370919709	1856.318353318988	746.5873312904465	25.291811216299276	-0.019274499709831305	1.0093067777646534	1.0282140128710444	0.9436120476945034	0.9681230798271944	1.0586695842521026	0.992074497590501	0.4416875648534936	0.0015256720087445813	0.0015256720087445813	-9467.342567565165	0.0	-153.7964680755201
12000	-9610.000405140916	-154.32732448076354	-9455.673080660152	170.63966366067373	1839.6562267502852	808.8522179946486	46.70395028258992	-0.012770784298570037	1.0126859436107865	1.0348718359986055	0.9437113888141319	0.9654748873889798	1.0546599535627559	0.9885959906247395	0.37119784633040953	0.0012987157910837057	0.001298715791083706	-9455.673080660152	0.0	-148.81342788250407
13000	-9607.308996600383	-155.8403534844446	-9451.468643115939	176.93678990141535	1833.3591005095436	836.9885133334648	58.52943814496701	-0.012770784298570037	1.0126859436107865	1.0357060388084236	0.9339371564058143	0.9654748873889798	1.0635999831612555	0.9885959906247395	0.45582896359600517	0.0013146398802564429	0.001314639880256443	-9451.468643115939	0.0	-149.8926278612662
